longitude,latitude,Diameter:double,Color:integer,Note:string,User:string
79.84625,-12.08347,2486.8697765225015,-65536,,
79.75695,-12.13122,2113.044276412498,-65536,,
79.74056,-12.05288,1388.6104228102752,-65536,,
79.63258,-12.27756,1680.0637007957646,-65536,,
79.36436,-12.40687,1637.4168770305969,-65536,,
79.35541,-12.35661,424.96151446779174,-65536,,
79.68736,-12.14634,1178.3589877148556,-65536,,
79.62085,-12.09978,607.3155220899736,-65536,,
79.84363,-12.21282,914.1569766569722,-65536,,
79.92574,-12.4161,953.4077453827429,-65536,,
79.91591,-12.33716,645.6638372038117,-65536,,
79.94471,-12.24854,624.692472900865,-65536,,
80.04776,-12.25635,1304.124378902777,-65536,,
79.47217,-12.31787,332.9690273837437,-65536,,
79.54879,-12.30284,417.3357136217061,-65536,,
78.97789,-12.38969,2928.8311818924058,-65536,,
78.97656,-12.30495,1971.2640027974599,-65536,,
79.06078,-12.47875,808.7059678816547,-65536,,
79.12656,-12.47113,791.0607172646601,-65536,,
79.06171,-12.4062,816.8876311991801,-65536,,
79.12276,-12.24379,791.6975241367498,-65536,,
79.57487,-12.622,775.0034534988895,-65536,,
79.55237,-12.64385,788.4195309105914,-65536,,
79.7278,-12.55299,1017.066999792749,-65536,,
78.89914,-12.62883,403.9214836005157,-65536,,
78.87402,-12.61523,474.89816299456317,-65536,,
78.8619,-12.46351,381.9217123569021,-65536,,
79.3578,-12.09916,329.3780543781213,-65536,,
79.36707,-12.19919,419.2559929355688,-65536,,
79.18571,-13.05127,651.7608063339736,-65536,,
79.22819,-13.01953,317.77447146382866,-65536,,
79.33007,-13.05488,827.6912552810848,-65536,,
79.50522,-13.04102,666.5515068861977,-65536,,
79.69027,-13.10507,317.8416577040521,-65536,,
79.19838,-13.23235,3060.129735903417,-65536,,
79.2115,-13.30216,2108.141785329331,-65536,,
78.93273,-13.07864,481.5917179616641,-65536,,
79.37722,-13.27933,597.9744129365141,-65536,,
79.58219,-13.00407,462.32726079249954,-65536,,
79.67404,-13.00029,555.3946448691876,-65536,,
79.69255,-13.03439,250.0928349435779,-65536,,
79.63901,-12.80566,517.5101300549647,-65536,,
79.68684,-12.72073,1305.2724643908477,-65536,,
79.21338,-12.93896,332.47494677417615,-65536,,
79.23009,-13.36914,819.2923520254567,-65536,,
79.55131,-13.5025,809.9057715718837,-65536,,
79.63321,-13.32715,390.3817821021022,-65536,,
79.33398,-13.27344,291.223400843545,-65536,,
79.37039,-13.20068,287.81901228167584,-65536,,
79.873,-13.06543,373.83358591922456,-65536,,
80.02995,-13.5567,1602.7426087607068,-65536,,
80.04869,-13.61481,479.0193314277833,-65536,,
79.33059,-13.35271,442.0356234902774,-65536,,
79.40853,-13.43164,509.5299854664309,-65536,,
79.77468,-13.42232,455.0030442346873,-65536,,
79.58194,-13.42645,429.95257240413105,-65536,,
80.20301,-13.42058,1306.6917989185854,-65536,,
80.2112,-13.46265,815.8383874324225,-65536,,
