longitude,latitude,Diameter:double,Color:integer,Note:string,User:string
339.56273,9.97924,901.1088812124323,-65536,,
339.54597,10.09898,802.3072414003337,-65536,,
339.74194,9.98681,701.3818024783278,-65536,,
339.66933,10.07031,441.363067988763,-65536,,
339.74194,10.16699,264.1510255996013,-65536,,
339.48119,10.20059,326.3914977948319,-65536,,
339.67786,9.78548,483.33997069974373,-65536,,
339.67943,9.75327,473.7360798693621,-65536,,
339.70289,9.71536,425.7873820776548,-65536,,
339.74685,9.73493,455.6188320682402,-65536,,
339.87497,9.74268,414.6880868066909,-65536,,
339.97573,9.75064,644.227930976466,-65536,,
339.97432,9.94332,696.7356886119185,-65536,,
339.51812,9.6547,507.75725281720827,-65536,,
339.23226,9.98852,359.9035128998061,-65536,,
339.24738,10.17896,423.56975052376663,-65536,,
339.90415,10.4317,218.41791246936972,-65536,,
339.6898,10.23146,206.85583460911178,-65536,,
339.68468,10.25251,233.0726240696691,-65536,,
339.42466,10.32808,245.4790563306096,-65536,,
339.69877,9.78387,387.92485801959634,-65536,,
339.81036,9.56857,545.6893307300038,-65536,,
339.92534,9.58165,383.65392000328586,-65536,,
339.95664,9.5896,307.3138471558779,-65536,,
340.12044,9.49892,760.5358117040774,-65536,,
340.15335,9.49863,471.8052408923891,-65536,,
340.14128,9.52957,352.47041681903124,-65536,,
340.11644,9.53621,358.9361666817545,-65536,,
340.12864,9.55353,205.2079696059119,-65536,,
340.07317,9.55273,276.243162465242,-65536,,
340.03706,9.53649,149.81711487384962,-65536,,
340.02661,9.73673,369.22806965140427,-65536,,
339.89209,9.91129,325.8405565445987,-65536,,
339.74739,9.85964,275.731342514086,-65536,,
339.737,9.83838,196.62335949888418,-65536,,
339.77567,9.81445,220.10981566711635,-65536,,
340.14333,9.9973,338.7628499694659,-65536,,
340.20808,9.90356,438.8533222211343,-65536,,
339.80433,10.05615,217.1010453041674,-65536,,
339.78818,10.04111,261.71437720911274,-65536,,
340.06679,10.11792,508.83874171075325,-65536,,
340.01482,10.32544,246.7436956625549,-65536,,
340.04772,10.36768,307.73483233616736,-65536,,
339.72621,10.30783,267.14474211965046,-65536,,
340.36029,10.29204,478.44327001070354,-65536,,
340.38126,10.30518,447.5273984463757,-65536,,
340.43527,10.26524,729.1782564992743,-65536,,
340.48741,10.26972,645.8110640584903,-65536,,
340.52689,10.23637,487.8345516952546,-65536,,
340.52463,10.26148,338.23085144018154,-65536,,
340.54229,10.2768,309.0038642826395,-65536,,
340.51843,10.28025,297.8823366445684,-65536,,
340.59049,10.23901,601.3591051168166,-65536,,
340.60069,10.26673,726.3459479365266,-65536,,
340.59429,10.28967,510.4044982475078,-65536,,
340.4474,10.12341,355.0398727301857,-65536,,
340.70105,10.23778,569.2284174583996,-65536,,
340.63464,9.73664,810.3489703162355,-65536,,
340.50692,9.60052,511.6515035286903,-65536,,
340.36778,9.19045,737.1543229358832,-65536,,
340.55901,9.20065,565.7423846697,-65536,,
340.14404,9.21184,515.7216598954111,-65536,,
339.80595,8.83242,699.4737640968802,-65536,,
340.01828,9.15489,666.9719308255857,-65536,,
339.99064,9.17772,528.8406177349989,-65536,,
339.84447,9.22781,312.57079562390936,-65536,,
339.87081,9.2431,290.98794166720273,-65536,,
340.03711,9.21084,199.43893490270995,-65536,,
340.04806,9.19529,221.96168428095385,-65536,,
339.40385,9.02489,1044.4373830641184,-65536,,
339.82941,9.31197,286.8359372293797,-65536,,
339.8403,9.28496,264.77098669669874,-65536,,
340.22953,9.42647,307.64405578077316,-65536,,
339.7169,9.66889,245.8497766951576,-65536,,
340.27511,10.34947,294.133553279452,-65536,,
340.34554,10.45368,233.56113616752606,-65536,,
