"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX28 [17969]","HARZBURGITE, XENOLITH [17969]","","","","","","","","PORPHYROCLASTIC [17969] ","PER","","","","","WR [17969] ","44.09","0.02","","1.67","","","","8.04","1.29","43.48","0.14","","0.02","0.11","","","","","","","","","","","","","","","","","0.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5","","32.2","2447","","","","2214","9.4","48.7","","","","","","3.23","12.74","0.51","0.99","0.59","","0.005899","0.001385","0.005842","","","","","","","","","0.64","0.165","0.374","0.049","0.203","0.058","0.023","0.071","0.011","0.082","0.018","0.058","0.01","0.076","0.013","0.02","0.03","","0.000156","0.002709","0.002537","0.007882","","","","3.32","","0.04","0.06","","","","","","","","","","","","","","","0.12189","","0.2789","","","","","","","","1013617",
"[17969]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","THRACE BASIN","41","41","27","27","SAE","","","s_THX4 [17969]","HARZBURGITE, XENOLITH [17969]","","","","","","","","PORPHYROCLASTIC [17969] ","PER","","","","","WR [17969] ","44.32","0.02","","1.33","","","","8.5","1.04","43.1","0.13","","0.01","0.1","","","","","","","","","","","","","","","","","1.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","33.1","2748","","","","2320","9.9","47","","","","","","1.07","8.04","0.55","0.57","0.14","","0.005648","0.001409","0.005169","","","","","","","","","3.21","0.149","0.379","0.053","0.232","0.066","0.023","0.074","0.012","0.085","0.018","0.06","0.011","0.078","0.013","0.02","0.05","","0.000122","0.00305","0.003106","0.007322","","","","6.3","","0.02","0.07","","","","","","","","","","","","","","","0.11988","","0.1929","","","","","","","","1013618",
"[18224]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / BULTFONTEIN KIMBERLITE","BULTFONTEIN MINE","-28.7689","-28.7689","24.7917","24.7917","SAE","","","s_AJE 223 [18224]","HARZBURGITE, GARNET, XENOLITH [18224]","","","","","","","","COARSE [18224] ","PER","","","","","WR [18224] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","18.26","","","","","","","","","","","","","","","","","","","","1.89","0.3632","","","","","","","","","","","","","","","","","","","","","","","","0.512706","","","0.70524","","","","","","","","","","","","","","","","","","","","","1014121",
"[18224]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / KIMBERLEY KIMBERLITE PROVINCE / BULTFONTEIN KIMBERLITE","BULTFONTEIN MINE","-28.7689","-28.7689","24.7917","24.7917","SAE","","","s_AJE 245 [18224]","HARZBURGITE, XENOLITH [18224]","","","","","","","","COARSE [18224] ","PER","","","","","WR [18224] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.09","30.64","","","","","","","","","","","","","","","","","","","","3.245","0.4658","","","","","","","","","","","","","","","","","","","","","","","","0.51269","","","0.70592","","","","","","","","","","","","","","","","","","","","","1014125",
"[19840]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / PREMIER KIMBERLITE CLUSTER / PREMIER KIMBERLITE","PREMIER MINE","-25.674","-25.674","28.15","28.15","SAE","","","s_PHN5268 [19840]","HARZBURGITE, GARNET, XENOLITH [19840]","","","","","","","","","PER","","","","","WR [19840] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000462","0.00484","","","","","","","","","","","","","","","","","","","","","","","","0.11046","","0.0459","","","","","","","","1017153",
"[19840]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / VENETIA KIMBERLITE CLUSTER","","-22.434","-22.434","29.321","29.321","SAE","","","s_V86 [19840]","HARZBURGITE, GARNET, XENOLITH [19840]","","","","","","","","GRANULAR [19840] ","PER","","","","","WR [19840] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000143","0.00075","","","","","","","","","","","","","","","","","","","","","","","","0.10837","","0.0913","","","","","","","","1017160",
"[6373]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD","LORENA BUTTE CINDER CONE","48","50","-120","-122","SAE","","","s_SIM-1 [6373]","PERIDOTITE, SPINEL, XENOLITH [6373]","","","","PLIOCENE [6373]","","","","","PER","","","","HE3_HE4(R/R(A)) from OLIVINE [6373]","MIN [6373] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.19","","","","","101969",
"[6357][8496]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD","LORENA BUTTE CINDER CONE","48","50","-120","-122","SAE","","","s_SIM-2 [6357]","HARZBURGITE, SPINEL, XENOLITH [6357] / PERIDOTITE, SPINEL, XENOLITH [8496]","","","","PLIOCENE [6357]","","","","","PER","","","F","","WR [6357] ","44.35","0","","1.3","","","","7.66","1.02","45.51","0.13","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.43","","26.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101970",
"[6357]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD","LORENA BUTTE CINDER CONE","48","50","-120","-122","SAE","","","s_SIM-3 [6357]","HARZBURGITE, SPINEL, XENOLITH [6357]","","","","PLIOCENE [6357]","","","","","PER","","","F","","WR [6357] ","43.5","0.01","","1.05","","","","7.84","0.89","46.51","0.12","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101971",
"[8496][6356][6373]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD","LORENA BUTTE CINDER CONE","48","50","-120","-122","SAE","","","s_SIM-5 [8496]","PERIDOTITE, SPINEL, XENOLITH [8496] / HARZBURGITE, XENOLITH [6356]","","","","PLIOCENE [6356]","","","","","PER","","","","HE3_HE4(R/R(A)) from OLIVINE [6373]","WR [8496] / MIN [6373] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.88","","39.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000087","0.001032","","","","","","","","","","","","","","","","","","","","","","","","0.1288","","0.4","","","6.11","","","","","101972",
"[6357][6373]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD","LORENA BUTTE CINDER CONE","48","50","-120","-122","SAE","","","s_SIM-9C [6357]","HARZBURGITE, SPINEL, XENOLITH [6357] / PERIDOTITE, SPINEL, XENOLITH [6373]","","","","PLIOCENE [6357]","","","","","PER","","","F","HE3_HE4(R/R(A)) from ORTHOPYROXENE [6373]","WR [6357] / MIN [6373] ","44.19","0.02","","1.45","","","","7.67","1.1","45.32","0.13","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.77","","","","","101973",
"[8496][6356][6373]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD","LORENA BUTTE CINDER CONE","48","50","-120","-122","SAE","","","s_SIM-11 [8496]","PERIDOTITE, SPINEL, XENOLITH [8496] / HARZBURGITE, XENOLITH [6356]","","","","PLIOCENE [6356]","","","","","PER","","","","HE3_HE4(R/R(A)) from OLIVINE [6373]","WR [8496] / MIN [6373] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.98","","27.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000113","0.000092","","","","","","","","","","","","","","","","","","","","","","","","0.1232","","0.58","","","6.71","","","","","101974",
