"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, ITURBIDE, LA FABRICA","24.73","24.73","-99.9","-99.9","SAE","","","s_LF2 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","62.19","0.07","","15.61","","","","1.68","5.04","0.7","0.02","","2.09","5.67","0.02","","","","","4.02","","","","","","","","","","","6.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","6","","","","","","","","12","","","","","59","921","10","92","7.2","","","","","","","","","","","","1.5","889","22.9","40.1","4.23","13.9","2.24","0.239","1.73","0.29","1.85","0.36","1.07","0.173","1.13","0.168","3.2","0.88","","","","","","","","","12","","11.7","2.81","","","","","","","","","","","","","","","","","","","","","","","","","1069678",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, ITURBIDE, LA FABRICA","24.73","24.73","-99.9","-99.9","SAE","","","s_LF7 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","62.15","0.14","","12.35","","","","0.83","9.86","0.34","0.02","","0.34","5.93","0.07","","","","","7.47","","","","","","","","","","","8.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","6","","","","","11","662","10.5","127","8","","","","","","","","","","","","0.9","160","13.4","27.2","3.22","11.7","2.33","0.207","1.98","0.32","1.95","0.38","1.1","0.161","1.08","0.167","3.5","0.91","","","","","","","","","10","","13.2","3.99","","","","","","","","","","","","","","","","","","","","","","","","","1069683",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, ITURBIDE, LA FABRICA","24.73","24.73","-99.9","-99.9","SAE","","","s_LF8 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","71.41","0.08","","10.32","","","","1.31","5.53","1.08","0.012","","2.38","0.84","0.03","","","","","4","","","","","","","","","","","7.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","11","","","","","67","328","10.7","113","8","","","","","","","","","","","","3.3","436","19.8","38.9","4.5","15.6","3.18","0.195","2.64","0.43","2.5","0.44","1.17","0.186","1.43","0.236","3.4","0.82","","","","","","","","","14","","14.1","5.58","","","","","","","","","","","","","","","","","","","","","","","","","1069684",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, GALEANA, CERRO LABRADORES","24.87","24.87","-100.07","-100.07","SAE","","","s_CL13 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","48.86","0.18","","16.02","","","","3.09","11.42","1.35","0.034","","3.59","3.96","0.03","","","","","","","","","","","","","","","","11.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","17.4","3.1","","","6.2","","11.9","","15","","","","","94","1160","13.3","200","16.8","","","","","","","","","","","","3.3","1600","17.4","38.1","4.8","18.3","4.32","0.75","3.8","0.6","3.08","0.5","1.29","","1.02","0.17","6.4","1.4","","","","","","","","","27.4","","15.3","3.7","","","","","","","","","","","","","","","","","","","","","","","","","1069794",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, GALEANA, CERRO LABRADORES","24.87","24.87","-100.07","-100.07","SAE","","","s_CL17 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","54.58","0.17","","14.51","","","","1.51","10.63","0.78","0.03","","4.41","4.14","0.04","","","","","","","","","","","","","","","","9.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","6.4","2","","","3.4","","5.4","","9.3","","","","","90","1035","16.7","150","13.7","","","","","","","","","","","","1.8","3100","15.3","37.6","5.3","20.8","4.6","0.8","3.7","0.6","3.5","0.6","1.6","","1.9","0.23","4.7","1","","","","","","","","","26.3","","10.6","2.9","","","","","","","","","","","","","","","","","","","","","","","","","1069796",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, GALEANA, CERRO LABRADORES","24.87","24.87","-100.07","-100.07","SAE","","","s_CL21 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","57.99","0.08","","16.67","","","","3.6","4.52","1.57","0.035","","6.14","3.29","0.02","","","","","","","","","","","","","","","","5.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","19.3","3.7","","","7.9","","10.8","","14.7","","","","","110","620","10.9","120","15.1","","","","","","","","","","","","3.3","2400","10.8","20.9","2.37","8.4","1.7","0.29","1.7","0.29","1.7","0.35","0.9","","0.5","0.12","5.6","2.2","","","","","","","","","47.9","","26","2.8","","","","","","","","","","","","","","","","","","","","","","","","","1069798",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, GALEANA, CERRO LABRADORES","24.87","24.87","-100.07","-100.07","SAE","","","s_CL27 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","75.13","0.1","","14.72","","","","0.75","0.72","0.29","0.028","","0.47","7.6","0.01","","","","","","","","","","","","","","","","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","109","123","","","20.8","","21.8","","14.5","","","","","27","786","30","195","43.4","","","","","","","","","","","","0.44","320","40","72.7","9.5","35.1","7.1","1.4","6.4","0.99","5.7","1.11","3.1","","3","0.41","5.2","2.64","","","","","","","","","6.7","","9.9","2.8","","","","","","","","","","","","","","","","","","","","","","","","","1069802",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, GALEANA, CERRO LABRADORES","24.87","24.87","-100.07","-100.07","SAE","","","s_CL30 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","64.7","0.1","","15.54","","","","1.12","4.86","0.56","0.025","","2.79","5.92","0.02","","","","","","","","","","","","","","","","4.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","3","2.8","","","2.1","","5","","10.9","","","","","75","1274","17","247","20.4","","","","","","","","","","","","1.4","1060","19.2","46.2","6","23.2","5.9","0.48","5.1","0.79","4.2","0.71","1.8","","7.9","0.23","8.2","1.62","","","","","","","","","24.2","","19.8","4.1","","","","","","","","","","","","","","","","","","","","","","","","","1069804",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, GALEANA, CERRO LABRADORES","24.87","24.87","-100.07","-100.07","SAE","","","s_CL33 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","66.19","0.19","","17.82","","","","1.66","1.66","0.69","0.026","","2.75","6.83","0.05","","","","","","","","","","","","","","","","2.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","7.1","2.2","","","2.9","","5.4","","15.1","","","","","75","1236","17","243","19","","","","","","","","","","","","1.5","1060","31.3","65","7.6","25.9","4.9","0.58","4.2","0.69","3.9","0.73","1.9","","2","0.3","7.2","1.66","","","","","","","","","25.1","","22.6","5","","","","","","","","","","","","","","","","","","","","","","","","","1069805",
"[20439]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, GALEANA, CERRO LABRADORES","24.87","24.87","-100.07","-100.07","SAE","","","s_CL38 [20439]","COMENDITIC RHYOLITE [20439]","","","","","","","","","VOL","","","","","WR [20439] ","72.66","0.09","","15.59","","","","1.33","0.7","0.8","0.012","","2.5","5.48","0.01","","","","","","","","","","","","","","","","0.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","2.9","1.7","","","1","","4.6","","15.1","","","","","85","1034","12","125","11.1","","","","","","","","","","","","1.2","827","23.8","49.9","6","22.2","4.8","0.53","4","0.63","3.4","0.59","1.5","","1.4","0.24","4.3","0.98","","","","","","","","","20.2","","14.4","4.1","","","","","","","","","","","","","","","","","","","","","","","","","1069808",
