"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1105-A2 [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","18.5","0.02","","0.89","","","","33.82","12.24","12.2","2.881","","0.5","0.06","6.09","","","","","0","","0.58","0.11","","","","","","","0.434","6.5","","","","","","","","","","","","","","","0","","","","","","","","","","","","","2.9","","21","0","","","27","4","17","236","11","2.4","7.1","","","12","5728","75.2","16","362","0","","","","0","2.2","0","8","0","","","2.2","32","464","1110","137","494","75","17.8","46.1","5.06","22.1","3.07","7.2","0.78","3.7","0.468","1.1","0.1","4.5","","","","","0","","0.11","5","0","1.4","0.87","","","","","","","","","","","","","","","","","","","","","","","","","1082720",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1106-15 [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","18.75","0.039","","0.96","","","","31.29","14.68","13.08","3.038","","0.47","0.19","7.49","","","","","0","","0","0","","","","","","","0","4.1","","","","","","","","","","","","","","","0","","","","","","","","","","","","","4","","36","0","","","34","0","50","250","14","2.8","6","","","8","7049","109","12","","0","","","","0","0","0","3","0","","","0.6","311","651","1570","180","672","98.3","24.5","60.2","6.43","27.3","4.19","10.2","1.02","5.3","0.651","0.9","0.95","1","","","","","0","","0.06","9","0","5.7","0.86","","","","","","","","","","","","","","","","","","","","","","","","","1082721",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1102-5C [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","19.14","0.024","","0.81","","","","42.34","8.07","15.02","2.866","","0.35","0.1","6","","","","","0","","0.57","0","","","","","","","0.647","0.7","","","","","","","","","","","","","","","0","","","","","","","","","","","","","3.2","","24","7","","","38","8","56","229","11","2.8","0","","","5","3666","57.6","18","545","25","","","","0.8","0.6","0","16","0","","","0.8","4","323","823","95.4","371","54.8","14.8","34.8","3.83","15.8","2.35","5.31","0.528","2.62","0.318","1","1.06","0.7","","","","","0","","0.05","8","0.2","1.93","2.76","","","","","","","","","","","","","","","","","","","","","","","","","1082722",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1104-6 [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","23.52","0.043","","1.21","","","","29.75","15.12","11.16","1.821","","0.38","0.75","6.3","","","","","5.21","","0.47","0","","","","","","","1.28","6.33","","","","","","","","","","","","","","","0","","","","","","","","","","","","","20","","9","23","","","31","11","52","149","15","5","0","","","12","5430","74.8","53","","0","","","","3.9","1.3","0.1","14","0.9","","","1.3","75","428","1110","147","549","80.5","20.1","48.1","5.22","21.7","3.2","7.39","0.727","3.62","0.456","2.1","3.74","1.2","","","","","0.008","","0","21","0.3","3.01","1.82","","","","","","","","","","","","","","","","","","","","","","","","","1082723",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1106-13 [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","24.59","0.151","","3.93","","","","23.35","15.37","10.85","0.848","","1.82","1.48","6.79","","","","","0","","0","0","","","","","","","0","5.48","","","","","","","","","","","","","","","0","","","","","","","","","","","","","8","","16","20","","","21","0","50","170","27","3","0","","","86","7718","63.1","27","917","0","","","","0","0","0","17","0","","","1.8","484","379","961","116","442","65.7","16.4","40.8","4.21","17.4","2.59","6.08","0.573","3.07","0.365","1.2","4.65","0","","","","","0","","0.22","18","0","1.74","1.36","","","","","","","","","","","","","","","","","","","","","","","","","1082724",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1104-14 [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","26.7","0.118","","3.58","","","","24.42","13.82","10.42","1.876","","0.91","1.24","6.66","","","","","3.22","","0.89","0","","","","","","","0.847","4.84","","","","","","","","","","","","","","","0","","","","","","","","","","","","","4.5","","82","13","","","29","6","156","202","20","4.6","0","","","32","8732","111","27","","0","","","","6","2.2","0.1","21","0.8","","","7.3","187","667","1540","194","689","99.3","24.9","59.6","6.82","29.4","4.61","10.7","1.16","5.87","0.733","1.1","5.34","1.9","","","","","0","","0.22","137","0.6","9.84","1.75","","","","","","","","","","","","","","","","","","","","","","","","","1082725",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1104-11 [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","28.22","0.058","","1.28","","","","37.07","7.71","11.68","2.627","","0.13","1.07","3.91","","","","","1.14","","0.65","0","","","","","","","0.932","1.61","","","","","","","","","","","","","","","2","","","","","","","","","","","","","3.7","","49","7","","","37","8","25","230","16","5.7","1.7","","","2","2765","48.8","24","539","0","","","","1.2","1.8","0.1","13","0.7","","","0.5","17","287","719","91.4","336","48","12","28.5","3.17","13.4","2.02","4.61","0.501","2.48","0.319","0.9","0.26","0.9","","","","","0.004","","0","14","0","1.29","0.19","","","","","","","","","","","","","","","","","","","","","","","","","1082726",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1103-14B [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","31.58","0.108","","2.03","","","","35.5","8.01","10.72","1.064","","0.27","1.63","2.17","","","","","0","","0.59","0","","","","","","","0.363","1.65","","","","","","","","","","","","","","","4","","","","","","","","","","","","","19.5","","205","45","","","12","3","27","195","20","3.7","0","","","2","2441","30.2","95","938","4","","","","0.7","1.9","0.2","48","0","","","0.2","56","194","444","48.4","178","25.8","7.12","16.4","1.86","7.9","1.24","3.01","0.342","1.96","0.291","4.2","1.16","0","","","","","0","","0","38","0.2","1.95","0.47","","","","","","","","","","","","","","","","","","","","","","","","","1082727",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1106-10 [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","36.18","0.062","","3.09","","","","20.79","13.48","10.68","1.584","","0.45","1.51","7.86","","","","","0","","0","0","","","","","","","0","1.36","","","","","","","","","","","","","","","3","","","","","","","","","","","","","21","","8","0","","","40","20","130","320","13","2.4","5","","","10","6192","93.6","141","774","0","","","","1.2","0","0","15","0","","","1.1","130","615","1440","161","598","84.5","21.2","51.7","5.51","24.5","3.61","7.84","0.875","4.54","0.573","4.8","1.4","1.3","","","","","0","","0.07","24","0","4.09","1.03","","","","","","","","","","","","","","","","","","","","","","","","","1082728",
"[20560]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / KOREAN PENINSULA - MESOZOIC / GYEONGGI MASSIF / YONGHWA PHOSCORITE-CARBONATITE COMPLEX","","36.5","36.5","126.5","126.5","SAE","","","s_YH1104-7 [20560]","PHOSCORITE [20560]","","","","TRIASSIC [20560]","","","","","PLU","","","","","WR [20560] ","49.75","0.687","","17.36","","","","9.05","5.32","3.32","0.235","","1.77","5.07","0.57","","","","","1.31","","0.06","0","","","","","","","0.152","3.76","","","","","","","","","","","","","","","2","","","","","","","","","","","","","18.2","","104","127","","","24","45","9","95","24","3.5","0","","","71","1037","40.7","305","177","0","","","","0","0","0","3","0","","","1.2","781","101","219","26","93.2","14.9","3.49","10.6","1.47","7.98","1.56","4.21","0.629","3.82","0.594","7.1","1.82","2.6","","","","","0","","0.37","6","0","14.2","1.17","","","","","","","","","","","","","","","","","","","","","","","","","1082729",
