"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR78 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","50.68","0.97","","17.77","","3.7","4.68","","10.33","6.13","0.16","","2","2.43","0.32","","","","","","","","","","","","","","","","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","","","","","","","53","651","26","135","16","","","","","","","","","","","","","841","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106690",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR33 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","50.84","1.02","","16.73","","4.02","5.15","","10.49","5.64","0.17","","1.99","2.31","0.39","","","","","","","","","","","","","","","","1.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","","","","","","","64","665","30","166","20","","","","","","","","","","","","","881","","91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106691",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR102 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","50.9","0.97","","18.02","","5.19","3.39","","10.36","4.47","0.15","","2.42","2.5","0.37","","","","","","","","","","","","","","","","1.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","","","","","","","77","788","29","180","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106692",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR139 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","51.55","1.08","","19.61","","3.32","4.96","","9.05","2.81","0.15","","2.83","3.02","0.66","","","","","","","","","","","","","","","","0.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","92","784","33","255","27","","","","","","","","","","","","","1053","","108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106694",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR22 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","51.71","0.73","","19.49","","1.2","5.84","","9.82","5.73","0.14","","2.18","2.47","0.45","","","","","","","","","","","","","","","","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","","","","","66","586","26","138","21","","","","","","","","","","","","","875","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106695",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR133 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","51.9","0.91","","19","","3.88","4.07","","8.9","4.81","0.15","","2.53","2.81","0.43","","","","","","","","","","","","","","","","0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","","","","","","","67","683","30","166","28","","","","","","","","","","","","","1053","","101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106696",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR225 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","52.25","1.05","","18.35","","8.92","","","8.66","4.12","0.16","","2.7","3.15","0.5","","","","","","","","","","","","","","","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106697",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR111 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","52.54","1.06","","18.58","","3.38","5.07","","9.19","4.14","0.16","","2.52","2.85","0.43","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","58","680","31","181","19","","","","","","","","","","","","","1124","","107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106698",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR138 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","52.54","1.13","","18.95","","3.12","5.27","","8.35","2.97","0.16","","3.02","3.15","0.68","","","","","","","","","","","","","","","","0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","94","761","35","261","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106699",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR32 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","52.89","1.19","","17.85","","2.76","6.01","","8.16","3.64","0.21","","2.59","3.22","0.44","","","","","","","","","","","","","","","","1.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","77","648","32","181","21","","","","","","","","","","","","","1109","","105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106700",
"[4673]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI","","38.79","38.79","15.21","15.21","SAE","","","s_STR115 [4673]","SHOSHONITE [4673]","","","","","","","","","VOL","","","","","WR [4673] ","52.9","1.12","","18.47","","3.67","4.68","","8.74","2.81","0.16","","2.92","3.17","0.72","","","","","","","","","","","","","","","","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","90","766","33","237","26","","","","","","","","","","","","","1110","","111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106701",
