"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_07VAN-E21 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","57.84","1.06","","16.86","","","","5.59","5.42","3.32","0.12","","2.83","4.66","0.36","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","108","","","","18.4","26.2","","","16.7","","","","","78.7","405.9","32.2","271.9","23.6","","","","","","","","","","","","1.9","530","42.3","83.8","9.33","35.2","6.31","1.58","5.52","0.92","5.4","1.07","3.1","0.47","3.05","0.49","6.7","1.5","","","","","","","","","5","","12.1","3.5","","","","","","","","","","","","","","","","","","","","","","","","","1051120",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_08VAN-E87 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","60.54","1.01","","17.75","","","","4.29","4.78","2.13","0.08","","3.02","4.62","0.29","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","105","","","","13.8","6.4","","","18.2","","","","","89.1","380.4","30.4","303.8","24.8","","","","","","","","","","","","2.7","549","43.5","84.5","9.74","37.8","6.88","1.63","6.22","1.04","5.89","1.2","3.45","0.55","3.36","0.52","7","1.6","","","","","","","","","3","","14.6","4.5","","","","","","","","","","","","","","","","","","","","","","","","","1051121",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_08VAN-E96 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","59.95","1.01","","16.69","","","","5.21","5.03","2.61","0.1","","3.05","4.44","0.35","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","107","","","","14","13.4","","","17.6","","","","","94.8","381.3","35.9","281.1","23.8","","","","","","","","","","","","2.1","599","50.4","93.2","11.03","40.5","6.95","1.63","6.39","1.04","5.95","1.22","3.55","0.52","3.53","0.52","6.7","1.3","","","","","","","","","4.8","","15","4.1","","","","","","","","","","","","","","","","","","","","","","","","","1051122",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_V-E-61 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","59.81","0.96","","16.82","","","","5.07","4.81","2.25","0.11","","3.25","4.55","0.32","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","95","","","","14.9","11.6","","","18.7","","","","","92.8","376.1","34.1","307.2","26.8","","","","","","","","","","","","1.7","616","46.6","92.4","10.39","37.5","6.35","1.59","6.08","0.98","5.51","1.1","3.43","0.5","3.39","0.52","7.6","1.6","","","","","","","","","4.7","","14.7","4.2","","","","","","","","","","","","","","","","","","","","","","","","","1051123",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_V-E-67 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","59.16","1.03","","16.57","","","","5.35","4.99","2.53","0.1","","3.1","4.42","0.37","","","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","107","","","","15.7","17.9","","","16.7","","","","","93.5","384.3","35.1","279","24.6","","","","","","","","","","","","2.4","909","49.6","90.8","10.99","39.4","6.85","1.58","6.4","1.06","5.9","1.17","3.51","0.53","3.48","0.5","6.8","1.4","","","","","","","","","4.6","","15","4.2","","","","","","","","","","","","","","","","","","","","","","","","","1051124",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_V-E-95A [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","60.79","0.95","","16.87","","","","4.84","4.27","1.96","0.09","","3.45","4.72","0.35","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","96","","","","12.4","8.4","","","18.5","","","","","105.5","348.1","31","314.1","26.8","","","","","","","","","","","","3","622","45.3","90.5","10.24","36.3","6.18","1.51","5.58","0.95","5.47","1.04","3.33","0.5","3.2","0.49","7.4","1.5","","","","","","","","","4.3","","16.9","4.7","","","","","","","","","","","","","","","","","","","","","","","","","1051125",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_V-E-95B [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","61.01","0.95","","16.72","","","","4.87","4.29","2.38","0.1","","3.37","4.69","0.33","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","82","","","","13.1","4.2","","","18.1","","","","","100.3","343","33.3","334.8","26.3","","","","","","","","","","","","2","634","46.1","93.7","10.54","38.3","6.37","1.5","5.78","0.98","5.79","1.12","3.41","0.54","3.47","0.5","8.3","1.7","","","","","","","","","1","","17","4.3","","","","","","","","","","","","","","","","","","","","","","","","","1051126",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_V-E-76 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","60.93","0.97","","16.65","","","","4.89","4.25","2.13","0.1","","3.37","4.69","0.33","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","95","","","","13.3","12.9","","","18.4","","","","","105.9","349.8","38.5","337.9","27","","","","","","","","","","","","3.6","623","53.4","94.2","11.12","41.1","6.9","1.58","6.46","1.07","6.12","1.22","3.62","0.55","3.69","0.56","8.2","1.7","","","","","","","","","5.3","","16.9","4.7","","","","","","","","","","","","","","","","","","","","","","","","","1051127",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_V-E-153 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","60.27","0.96","","17.73","","","","4.26","4.62","1.78","0.07","","3.44","3.99","0.28","","","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","91","","","","9.1","4.4","","","19.1","","","","","114.3","407.5","27.8","281.3","23.3","","","","","","","","","","","","5","595","42.9","78","9.1","32.3","5.58","1.4","5.16","0.81","4.89","0.97","2.81","0.44","2.8","0.43","6.7","1.5","","","","","","","","","1.2","","17.2","4.8","","","","","","","","","","","","","","","","","","","","","","","","","1051128",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK / ETRUSK KALETEPE UNIT","MAIN CRATER","39.2","39.2","43","43","SAE","","","s_08VAN-K92 [20322]","LATITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","56.64","0.92","","17.66","","","","6.3","6.7","3.94","0.11","","1.95","4.08","0.33","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","136","","","","26","19.1","","","19.3","","","","","51.4","697.5","26.4","154.5","18.4","","","","","","","","","","","","1.9","424","32.6","67.1","7.16","28.6","4.87","1.35","4.58","0.72","4","0.84","2.35","0.35","2.28","0.35","4","1.1","","","","","","","","","1.4","","12.3","4","","","","","","","","","","","","","","","","","","","","","","","","","1051129",
